timestamp,value
2023-Aug-27,2
2023-Aug-28,6
2023-Aug-29,12
2023-Aug-30,5
2023-Aug-31,7
2023-Sep-01,12
2023-Sep-02,10
2023-Sep-03,2
2023-Sep-04,9
2023-Sep-05,9
2023-Sep-06,9
2023-Sep-07,14
2023-Sep-08,11
2023-Sep-09,4
2023-Sep-10,2
2023-Sep-11,3
2023-Sep-12,6
2023-Sep-13,8
2023-Sep-14,1
2023-Sep-15,7
2023-Sep-16,2
2023-Sep-17,7
2023-Sep-18,2
2023-Sep-19,9
2023-Sep-20,6
2023-Sep-21,3
2023-Sep-22,15
2023-Sep-23,8
2023-Sep-24,5
2023-Sep-25,4
